Year	Lon	Lat	M
   1.9800062e+03   1.0220000e+02   3.7480000e+01   2.3000000e+00
   1.9800139e+03   1.0217000e+02   3.7850000e+01   2.2000000e+00
   1.9800220e+03   1.0205000e+02   3.7870000e+01   2.2000000e+00
   1.9800346e+03   1.0533000e+02   3.5800000e+01   1.9000000e+00
   1.9800385e+03   1.0205000e+02   3.7970000e+01   2.4000000e+00
   1.9800464e+03   1.0207000e+02   3.7500000e+01   1.7000000e+00
   1.9800637e+03   1.0263000e+02   3.7300000e+01   1.7000000e+00
   1.9800678e+03   1.0667000e+02   3.7130000e+01   2.4000000e+00
   1.9800679e+03   1.0310000e+02   3.6980000e+01   2.4000000e+00
   1.9800694e+03   1.0663000e+02   3.7000000e+01   2.0000000e+00
   1.9800729e+03   1.0612000e+02   3.6980000e+01   2.5000000e+00
   1.9800830e+03   1.0370000e+02   3.7120000e+01   2.8000000e+00
   1.9800929e+03   1.0268000e+02   3.6530000e+01   2.5000000e+00
   1.9800943e+03   1.0258000e+02   3.7550000e+01   2.7000000e+00
   1.9801057e+03   1.0258000e+02   3.7700000e+01   3.3000000e+00
   1.9801064e+03   1.0377000e+02   3.8950000e+01   2.4000000e+00
   1.9801113e+03   1.0208000e+02   3.7650000e+01   2.7000000e+00
   1.9801143e+03   1.0285000e+02   3.7730000e+01   2.5000000e+00
   1.9801268e+03   1.0432000e+02   3.7030000e+01   1.9000000e+00
   1.9801363e+03   1.0403000e+02   3.8500000e+01   3.3000000e+00
   1.9801380e+03   1.0267000e+02   3.7330000e+01   2.2000000e+00
   1.9801423e+03   1.0513000e+02   3.5320000e+01   3.5000000e+00
   1.9801423e+03   1.0522000e+02   3.5430000e+01   3.3000000e+00
   1.9801481e+03   1.0345000e+02   3.9920000e+01   3.2000000e+00
   1.9801483e+03   1.0208000e+02   3.8550000e+01   1.8000000e+00
   1.9801518e+03   1.0627000e+02   3.8070000e+01   3.1000000e+00
   1.9801518e+03   1.0417000e+02   3.7780000e+01   2.6000000e+00
